X,favoriteCount,replyToSN,truncated,replyToSID,id,replyToUID,screenName,retweetCount,isRetweet,retweeted,,,,,,
68,0,0,NA,0,NA,8.01490361998684E+017,NA,US70707,41,1,0,,,,,
69,0,NA,0,NA,8.01490339978707E+017,NA,UnRealMohit,0,0,0,,,,,,
70,0,NA,0,NA,8.01490286597853E+017,NA,vtushar1960,76,1,0,,,,,,
71,0,NA,0,NA,8.01490253370585E+017,NA,HRajshri,1868,1,0,,,,,,
72,0,NA,0,NA,8.01490109572858E+017,NA,AllinoneIndia,0,0,0,,,,,,
73,0,NA,0,NA,8.01489955994223E+017,NA,manickam_sm,11,1,0,,,,,,
74,0,NA,0,NA,8.0148994867941E+017,NA,SanalSudev,12,1,0,,,,,,
75,0,NA,0,NA,8.01489948201386E+017,NA,VaidyaPriyam,30,1,0,,,,,,
76,0,NA,0,NA,8.0148983826029E+017,NA,imprakrut,2,1,0,,,,,,
77,0,NA,0,NA,8.01489661369553E+017,NA,everG3,1,1,0,,,,,,
78,0,NA,0,NA,8.01489632814735E+017,NA,Myth_Busterz,66,1,0,,,,,,
79,0,NA,1,NA,8.01489628880474E+017,NA,ganeshjoshibjp,0,0,0,,,,,,
80,0,NA,0,NA,8.01489588275417E+017,NA,ikumarashok,9,1,0,,,,,,
81,0,0,NA,0,NA,8.01489570831299E+017,NA,ssmalani,637,1,0,,,,,
82,0,NA,0,NA,8.01489350001205E+017,NA,cracklier,59,1,0,,,,,,
83,0,NA,0,NA,8.01489279700476E+017,NA,Rohit_V,0,0,0,,,,,,
84,0,0,NA,0,NA,8.01489103267238E+017,NA,TussarJitu,331,1,0,,,,,
85,0,NA,0,NA,8.01489004340384E+017,NA,praveentiwari6,15,1,0,,,,,,
86,0,NA,0,NA,8.01488657307738E+017,NA,ankit_gupta518,9,1,0,,,,,,
87,0,NA,0,NA,8.01488603809456E+017,NA,Priyad_01,0,0,0,,,,,,
88,0,NA,0,NA,8.01488489921421E+017,NA,Bhartiyalist,112,1,0,,,,,,
89,0,NA,0,NA,8.01488489917202E+017,NA,ChandokSumeet,2,1,0,,,,,,
90,0,NA,0,NA,8.01488425257841E+017,NA,ThumbaHasivu,95,1,0,,,,,,
91,0,NA,1,NA,8.01488415061459E+017,NA,sanjeevkriocl,0,0,0,,,,,,
92,0,NA,0,NA,8.01488412641374E+017,NA,everG3,6,1,0,,,,,,
93,0,NA,0,NA,8.01488389690171E+017,NA,SaubhagyaVarma,0,0,0,,,,,,
94,0,NA,0,NA,8.01488290620678E+017,NA,Salimpa71373837,66,1,0,,,,,,
95,0,NA,0,NA,8.01488265568076E+017,NA,khan96faiz,132,1,0,,,,,,
96,0,NA,0,NA,8.01488238347047E+017,NA,nitinpoddar,275,1,0,,,,,,
97,0,NA,0,NA,8.0148821114719E+017,NA,AnakhaRavindran,20,1,0,,,,,,
98,0,NA,0,NA,8.01488202527707E+017,NA,Jayaram84296692,112,1,0,,,,,,
99,0,NA,0,NA,8.01488164896375E+017,NA,ilapakurthi,406,1,0,,,,,,
100,0,NA,0,NA,8.01488124782121E+017,NA,gr8india,69,1,0,,,,,,
101,0,NA,0,NA,8.01488056817746E+017,NA,razikararvi,0,0,0,,,,,,
102,0,NA,0,NA,8.01488039130214E+017,NA,Currency_crisis,1,0,0,,,,,,
103,0,NA,0,NA,8.01488026895585E+017,NA,MdShuaib7,9,1,0,,,,,,
104,0,NA,0,NA,8.01487988257477E+017,NA,shobhanpounikar,30,1,0,,,,,,
105,0,NA,0,NA,8.0148798220934E+017,NA,Arshkhankhan1,22,1,0,,,,,,
106,0,NA,0,NA,8.01487931886027E+017,NA,jaiinashish,30,1,0,,,,,,
107,0,NA,0,NA,8.01487863971885E+017,NA,TeenaSingh882,1,1,0,,,,,,
108,0,NA,0,NA,8.01487861631435E+017,NA,mshivaram,95,1,0,,,,,,
109,0,NA,0,NA,8.01487856740905E+017,NA,rajdeepTwitting,15,1,0,,,,,,
110,0,NA,0,NA,8.01487839850467E+017,NA,fighterpirate7,6,1,0,,,,,,
111,0,NA,0,NA,8.01487780224254E+017,NA,AmereshSingh,0,0,0,,,,,,
112,0,NA,0,NA,8.01487735642997E+017,NA,itsmeroshan2121,20,1,0,,,,,,
113,0,NA,0,NA,8.01487726965097E+017,NA,enzacdesccom191,428,1,0,,,,,,
114,0,0,NA,0,NA,8.01487697017651E+017,NA,Sourabhprk,57,1,0,,,,,
115,0,NA,0,NA,8.01487665321361E+017,NA,tauhid13,6,1,0,,,,,,
116,0,NA,0,NA,8.01487651245326E+017,NA,IamMLK48,6,1,0,,,,,,
117,0,0,NA,0,NA,8.01487603140731E+017,NA,indianmonk1,41,1,0,,,,,
118,0,NA,0,NA,8.0148760211327E+017,NA,Dhriyamana,76,1,0,,,,,,
119,0,NA,0,NA,8.01487493753237E+017,NA,indianmonk1,20,1,0,,,,,,
120,0,NA,0,NA,8.01487449230717E+017,NA,DonMufflerMan,6,1,0,,,,,,
121,0,NA,0,NA,8.01487410441949E+017,NA,shubhamamdhare,66,1,0,,,,,,
122,0,NA,0,NA,8.01487345480368E+017,NA,SSP79,15,1,0,,,,,,
123,0,NA,0,NA,8.01487308360798E+017,NA,shobhanpounikar,19,1,0,,,,,,
124,0,NA,0,NA,8.01487186109592E+017,NA,harishchawla74,76,1,0,,,,,,
125,0,NA,0,NA,8.01487148201476E+017,NA,anilrai,0,0,0,,,,,,
126,6,NA,0,NA,8.01487120464429E+017,NA,_avenu,6,0,0,,,,,,
127,0,NA,0,NA,8.01487039652889E+017,NA,aashish81us,30,1,0,,,,,,
128,0,NA,0,NA,8.01486976486638E+017,NA,Jodhpur_Blue,421,1,0,,,,,,
129,0,NA,0,NA,8.01486894920073E+017,NA,deeptiyvd,76,1,0,,,,,,
130,0,NA,0,NA,8.01486894789866E+017,NA,ioclpunjab,18,1,0,,,,,,
131,0,NA,0,NA,8.01486777777173E+017,NA,aawara_aatma,66,1,0,,,,,,
132,0,NA,0,NA,8.01486720621416E+017,NA,rathoreaja,105,1,0,,,,,,
133,0,DeshhBhakt,0,8.01444952945345E+017,8.01486677550121E+017,4912204657,bhau_rokthok,0,0,0,,,,,,
134,0,NA,0,NA,8.01486563083325E+017,NA,aniljothomas,9,1,0,,,,,,
135,0,NA,0,NA,8.01486556846404E+017,NA,centreofleft,66,1,0,,,,,,
136,0,NA,0,NA,8.01486482670109E+017,NA,anuuragjain,3,1,0,,,,,,
137,0,NA,0,NA,8.01486466513662E+017,NA,Pavanpavs254,15,1,0,,,,,,
138,0,NA,0,NA,8.01486456803836E+017,NA,BeLogicalPlz,2,1,0,,,,,,
139,0,NA,0,NA,8.01486444682363E+017,NA,Thenirajpandey,59,1,0,,,,,,
140,0,NA,0,NA,8.01486358673883E+017,NA,rranjan733,270,1,0,,,,,,
141,0,NA,0,NA,8.01486291208643E+017,NA,barundebbarun,12,1,0,,,,,,
